sentiment,comment
not nostalgia,oh please invent the time machine .i want to listen to him live . drinking my mediterranean self made wine .
nostalgia,"I remember an interview with Roy decades ago. Someone asked him why he sang like he did. He said that he did it because nobody told him it couldn't be done.He said that if someone had told him that, he probably would have developed a different style.From that I learned never to tell a young person that something is impossible."
not nostalgia,Agree 100% Always wished I could live back then
not nostalgia,i just looked this song up for english for a homework assignment and i now LOVE THIS SONG! and i just searched it 2 minutes ago
nostalgia,"My Mum went to see him every time he came to the UK. She said you could hear a pin drop when he sang, such was the appreciation.  She was lucky enough to have front row seats a few times.  My Father passed away in November 1988, and Roy passed a few weeks after.  She has not been able to play his music since unfortunatley.    But all I heard growing up was Roy, thank you Mum"
not nostalgia,I can totally understand your Mum. My man passed away two years ago and all I do when I listen to songs like this is cry. Very seldom that I dare to listen at all. Music can make you more vulnerable and then the feelings are there...  Love from Germany to you???
not nostalgia,Maybe the world has some hope.  I'm glad to hear some of the young folks like real rock and roll.  The stuff played today just doesn't have any heart. 
not nostalgia, I know the song you're talking about. I'm sure I have it on an album. I moved not long ago so I will have to dig to find it. It ended (as I remember) " I'll always be your baby through out the years" (I think).
not nostalgia,back when you actually had to sing.
nostalgia,What a fantastic treasure Youtube is! To be able to revisit the past like this and hear these great songs and singers live again. Well done superb quality video. Many thanks took me back through a lot of years!
not nostalgia,now this is great music I wished country music was like this now.
not nostalgia,True country music today country music sucks I believe that we will never hear true country music again this junk they play today is rock thank God for Sirius radio and youtube for real country music
not nostalgia,One of the most beautiful Country songs ever recorded by The Great Hank Locklin a top selling single and a gold disc for him to
not nostalgia,"love these old country classics, the stuff the do no not just ain't country"
not nostalgia,I have always loved this song??? Locklin had such a distinctive voice and delivery. And I DO believe that's Floyd Cramer on the ivorys??? another legend.
not nostalgia,I???m 25 and this is my favorite music ever the classic country is my go to music I can???t stand anything today
nostalgia,I well remember when this record shot up the country charts and crossed over to the pop charts.  A unforgettable able song sung to perfection by a pure country artist who also happened technically to be impeccable.  How can anyone not love this music which never grows old?
not nostalgia,This is my mom and dad's kind of western music and I love it.
not nostalgia,Am 17 years old and am falling in love with old school music
nostalgia,These oldies takes me back many years ago. Love Country music.
not nostalgia,Still got recordings of my dad banging this out in the kitchen from when I was about 5. Incredible music!
nostalgia,reminds me of my grannys music love it my grannys old party days
nostalgia,"I loved this song as a kid in the 50's-60's and never thought about anything but Top 40.   What a great song!  Lou from Raleigh, NC"
nostalgia,"This will always be one of my all time favorite songs.  I remember playing this and ""hello Walls"" on 45s at my Grandmom's house over and over and over - until one day she said, ""Honey, why don't you just take them home"" . my heart was bursting I was so happy!  I have the 45s to this day.    She gave me my love of country music as a little girl ."
nostalgia,First country song I can remember hearing when I was a little girl
nostalgia,"Yes, the good old days we thought they??? never end"
not nostalgia,I love this song! I heard it on an infomercial about country jukebox hits on tv.
not nostalgia,To everyone who really knows his best yet to come for many years god blessing him amen
nostalgia,This was my one of favorite  song  when I was. I love to sing this sweet country doing. when I was a kid during 1985 86 .it's great and soulful.  Please help me .
not nostalgia,"Great classic country, Hank did it so well, with so many hits. Thank you Hank."
nostalgia,Reminds me of years ago when I was on holiday with my parents......lovely times
nostalgia,This song brings back LOTS of memories for me when I was in the Navy.  The words apply still today!
nostalgia,Thank you i remember this song as a child
not nostalgia,LMAO - This is the funniest comment - I ever saw on YouTube. 
not nostalgia,I shared this on my facebook and Ricky has only just liked it. :O no lie. Youtube let me post a photo :D
not nostalgia,I have a young friend Laura a very nice girl
not nostalgia,I sing this to my sister Laura when she's in a bad mood she hates it
not nostalgia,i was named after this song but still not quite why but at least it means something to my grandparents.
nostalgia,I was a  teenager then loved rock n' roll but still loved songs like this. Grew up with "Town Hall Party" on T.V.
not nostalgia,Wow no background music like nowadays. You barely listen to words
not nostalgia,I just love listening to those  old  songs
nostalgia,I remember growing up listening to the Grand Ole Opry Music during the 1950s and 1960s
nostalgia,At least these were live singing and not the lip singing that started in the late 60's and 70's. This was our look forward to entertainment on the weekends.
not nostalgia,This is my childhood friends great grandpa. I didn't think he was serious but he was!!
